site_id,year_qtr,treatment,treatment_year_qtr,ncp_wdebt,ncp_emp_rate,smom_emp_rate,Nncp
186000,2011,0,0,.488141,.3865531,.5244962,68
186000,2011.25,0,0,.4250312,.2347802,.5858592,61
186000,2011.5,0,0,.3876731,.3146987,.6279745,51
186000,2011.75,0,0,.4888856,.3694253,.6571974,27
186000,2012,0,0,.3735682,.2986981,.7097299,33
186000,2012.25,0,0,.4233907,.4062268,.6034863,63
186000,2012.5,0,0,.4284719,.2798121,.5862852,52
186000,2012.75,0,0,.4957945,.2196475,.5551647,44
186000,2013,0,0,.4507747,.2536514,.7119479,70
186000,2013.25,0,0,.3833356,.2921113,.6506022,27
186000,2013.5,0,0,.4754258,.2795457,.6172786,30
186000,2013.75,0,0,.4936911,.3881412,.6849877,69
186000,2014,0,0,.4974116,.2399472,.5989724,46
186000,2014.25,0,0,.4160228,.1899845,.645327,50
186000,2014.5,0,0,.4446003,.1835124,.6868138,32
186000,2014.75,0,0,.4132552,.3453856,.6922321,58
186000,2015,0,0,.4120249,.3150572,.6034584,69
186000,2015.25,0,0,.4902855,.3387896,.5407442,47
186000,2015.5,0,0,.4471154,.3223516,.7045075,59
186000,2015.75,0,0,.4760758,.350371,.7176899,26
186000,2016,0,0,.4599121,.2269818,.5353631,25
186000,2016.25,0,0,.4971334,.4028709,.5400165,72
186000,2016.5,0,0,.4511389,.1671435,.5879009,56
186000,2016.75,0,0,.4202363,.407551,.528648,68
186000,2017,0,0,.3866454,.2314584,.6908314,50
186000,2017.25,0,0,.4033599,.2222386,.5279926,37
186000,2017.5,0,0,.4662987,.2201266,.6776518,68
186000,2017.75,0,0,.3749619,.404857,.549192,23
186000,2018,0,0,.4353186,.3905405,.6926414,32
186000,2018.25,0,0,.3802637,.2950619,.5894755,24
186000,2018.5,0,0,.4142365,.204972,.6504118,44
186000,2018.75,0,0,.4703955,.4338259,.5459763,66
186000,2019,0,0,.4395776,.4345213,.6825697,34
186000,2019.25,0,0,.4955659,.2697755,.6842946,53
186000,2019.5,0,0,.4853082,.2814485,.6429942,47
186000,2019.75,0,0,.4120174,.3982552,.5383683,34
186000,2020,0,0,.397023,.271489,.5351033,55
186000,2020.25,0,0,.4302429,.3265147,.5974889,25
186000,2020.5,0,0,.4798029,.2437887,.6039419,70
186000,2020.75,0,0,.3803571,.41852,.6413642,47
185000,2011,0,0,.4402625,.2046709,.6607754,55
185000,2011.25,0,0,.3890392,.3558985,.5288193,41
185000,2011.5,0,0,.399429,.4458841,.6173545,24
185000,2011.75,0,0,.4003232,.3398514,.6247259,70
185000,2012,0,0,.4762701,.4283058,.7149634,35
185000,2012.25,0,0,.4637727,.4079628,.533597,47
185000,2012.5,0,0,.441923,.2935308,.5341644,70
185000,2012.75,0,0,.4973577,.4463801,.6728811,47
185000,2013,0,0,.3950103,.3169681,.5631425,55
185000,2013.25,0,0,.4491347,.3638164,.6116287,45
185000,2013.5,0,0,.4181075,.1675393,.6989454,49
185000,2013.75,0,0,.4785007,.297704,.6280089,59
185000,2014,0,0,.4551533,.1853659,.5445955,62
185000,2014.25,0,0,.4687399,.2363283,.6112143,59
185000,2014.5,0,0,.4147534,.3750891,.5261068,26
185000,2014.75,0,0,.4030665,.4331513,.5758874,70
185000,2015,0,0,.4405813,.4251626,.5596728,66
185000,2015.25,0,0,.3762127,.2304548,.625675,51
185000,2015.5,0,0,.4041038,.3127347,.6695036,42
185000,2015.75,0,0,.4894737,.3188842,.5508211,26
185000,2016,0,0,.4130493,.1814892,.6016359,25
185000,2016.25,0,0,.4455547,.1650645,.6432171,60
185000,2016.5,0,0,.4098019,.3604322,.5721158,24
185000,2016.75,0,0,.4770276,.205049,.5603812,70
185000,2017,0,0,.3930893,.2863327,.6062792,64
185000,2017.25,0,0,.4530404,.1649602,.5740079,42
185000,2017.5,0,0,.4081538,.4080146,.6875011,52
185000,2017.75,0,0,.4835283,.1820882,.611697,35
185000,2018,0,0,.4607203,.1871784,.6008738,51
185000,2018.25,0,0,.3806732,.4155141,.6925482,27
185000,2018.5,0,0,.4531784,.2873913,.605603,70
185000,2018.75,0,0,.4899956,.3836406,.5790873,27
185000,2019,0,0,.4834696,.168984,.5453229,38
185000,2019.25,0,0,.4664907,.4274435,.5362171,56
185000,2019.5,0,0,.4017655,.4120711,.540841,68
185000,2019.75,0,0,.4208009,.2092028,.6072129,59
185000,2020,0,0,.4282128,.2204158,.5266591,68
185000,2020.25,0,0,.4123087,.4027133,.6360285,29
185000,2020.5,0,0,.4125314,.2099024,.622753,25
185000,2020.75,0,0,.4105926,.270624,.6675338,41
184000,2011,0,0,.4050407,.2681023,.6551156,68
184000,2011.25,0,0,.3939767,.4318193,.5414309,29
